Ref Number,Date/time received,Page Title,Page URL,Y/N,What's wrong,Details,Topic,Personal info (Y/N),Notes,Blank,Test - auto-topic generator
05/20-0001,Mon May 11 2020 15:20:50 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,I need to know if I can travel from Toronto to Muskoka cottage this weekend,Travel within Canada,,,,Travel
05/20-0002,Mon May 11 2020 13:22:17 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,,Not enough information on symptoms by now there should other infomation such as things people notice before getting sick. Could be simple things like a different taste in a persons mouth or headache and other items,Symptoms,,,,something else
05/20-0003,Mon May 11 2020 13:09:14 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,,No details,,,,something else
05/20-0004,Mon May 11 2020 13:24:47 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,There is an article stating it’s illegal to not wear a face mask in public in Canada. Is this true? Your website states optional. Also purchasing them takes supplies from those who need them,PPE,,,,PPE
05/20-0005,Mon May 11 2020 13:27:57 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,what tp know the rules,Feedback unclear,,,,something else
05/20-0006,Mon May 11 2020 13:37:15 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,,I am on oxygen 24/day. Should I wear a face mask?,PPE,,,,PPE
05/20-0007,Mon May 11 2020 13:46:40 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,,Is 38.8temp concerning,Symptoms ,,,,something else
05/20-0008,Mon May 11 2020 14:05:33 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,Looking for a contact to request a self isolation requirement be revoked as it was issues by mistake.,Quarantine isolation self-isolation,,,,something else
05/20-0009,Mon May 11 2020 14:09:49 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,,No details,,,,something else
05/20-0010,Mon May 11 2020 14:12:24 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,I'm wondering if you have a serve case how do you treat it?,Treatment ,,,,Treatment
05/20-0011,Mon May 11 2020 14:24:06 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,,No details,,,,something else
05/20-0012,Mon May 11 2020 14:29:43 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,,No details,,,,something else
05/20-0013,Mon May 11 2020 14:45:00 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The information isn’t clear,"I would like to know, if I go to the grocery store or for a walk, can I transmit the virus on my shoes or jacket and come home and infect others in the house, is leaving my shoes at the door enough or do I have to disinfect them.",Transmission,,,,something else
05/20-0014,Mon May 11 2020 14:49:38 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,,"Is this real? Is there a Law, effective TODAY forcing All Canadian to wear a ask? Please see web link below https://toronto-ontario.news/news/you-can-get-jail-time-for-not-wearing-a-face-mask-in-canada-starting-next-week/",PPE,,,,PPE
05/20-0015,Mon May 11 2020 14:56:31 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,If someone is asymptomatic and they quarantine for 14 days are they still a risk to spread the virus. (If they never show symptoms will the virus be gone in 14 days?),Contagious,,,,something else
05/20-0016,Mon May 11 2020 14:57:10 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,"If you suspect you have a mild case of corona virus, how long does it take to get better? Also are there other symptoms that are associated with the recovery stage?",Course of illness,,,,something else
05/20-0017,Mon May 11 2020 14:59:11 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The information isn’t clear,"Standards for masks, whats acceptable what isnt.",PPE,,,,PPE
05/20-0018,Mon May 11 2020 15:20:12 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,Moi garçon testé positif après 14jour encor des symptôme,Feedback unclear,,,,something else
05/20-0019,Mon May 11 2020 15:28:32 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,,Pendant combien de temps pouvons-nous avoir des symptômes et combien de temps pouvons-nous être contagieux. Est-ce que les symptômes peuvent durer plus de 14 jours?,Contagious,,,,something else
05/20-0020,Mon May 11 2020 13:26:43 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,You don't answer what is covid-19? Other than a new disease.,What is COVID,,,,something else
05/20-0021,Mon May 11 2020 15:56:58 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,Procedure for laundering Covid contaminated bedding,Cleaning,,,,something else
05/20-0022,Mon May 11 2020 16:22:39 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,"I want to know if I have one of the coronavirus symptoms such as muscle pain, what pain med should I take?",Treatment ,,,,something else
05/20-0023,Mon May 11 2020 16:26:03 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,if I live on a farm by myself and am in self isolation can I go around my farm,Quarantine isolation self-isolation,,,,something else
05/20-0024,Mon May 11 2020 16:30:19 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,,je veux savoir combien de temps a ce moment pour recevoir un resultat de test covid19... pour ma région géographique.... La ligne covid 19 ne peut dire et le temps metionner de l hopital est fautif.....C est très frustrant et est ce que mon test a bien ete recu et fait?????????????,Testing,,,,something else
05/20-0025,Mon May 11 2020 16:32:47 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,"J'aimerais avoir les coordonnées téléphoniques car a la demande de CHUS, on me demande d'aller passer le test pour la covid vu mes symptômes",Testing,,,,something else
05/20-0026,Mon May 11 2020 16:36:58 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,"mental health portal URL just given by minister of health, no whereto be found!",Mental health,,,,something else
05/20-0027,Mon May 11 2020 16:40:33 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,I’m not in the right place,Jaimerais savoir pour le co voiturage..... dois je avoir mon passager en arriere ou il peut etre assis a cote moi,"Permissible activities, Carpool",,,,something else
05/20-0028,Mon May 11 2020 16:44:12 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,What is the coronavirus?,What is COVID,,,,something else
05/20-0029,Mon May 11 2020 16:56:01 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,Other reason,So when are yall going to roll out the mark?,Feedback unclear,,,,something else
05/20-0030,Mon May 11 2020 17:03:12 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,,No details,,,,something else
05/20-0031,Mon May 11 2020 17:25:33 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,how to treat myself at home?,Treatment,,,,Treatment
05/20-0032,Mon May 11 2020 17:42:04 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,Other reason,"The list of symptoms doesn’t include any of the new ones I’ve been hearing about (loss of smell/taste, purple rash, etc).",Symptoms,,,,something else
05/20-0033,Mon May 11 2020 18:12:41 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,No,I’m not in the right place,,No details,,,,something else
05/20-0034,Mon May 11 2020 18:16:46 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,"If you are for example walking down a hallway and you cant maintain the 2 meters distance, is there a time limit for when you need to worry about possibly becoming infected",Avoid infection,,,,something else
05/20-0035,Mon May 11 2020 18:30:03 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,Are we able to visit immediate family if physical distancing is maintained and group size is less than 10 people?,"Permissible activities, Social contact",,,,something else
05/20-0036,Mon May 11 2020 18:49:09 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,"If a company has a confirmed case of COVID-19, do employees working there have a right to not got to work for safety reasons?",Workplaces,,,,something else
05/20-0037,Mon May 11 2020 18:56:28 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,Enfant ayant urticaire sur bras quoi faire ?,Treatment,,,,something else
05/20-0038,Mon May 11 2020 19:04:03 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,,I have symptoms of severe common cold ?,Symptoms,,,,something else
05/20-0039,Mon May 11 2020 19:07:10 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,Other reason,endroit pour passer le test a drummondville,Testing,,,,something else
05/20-0040,Mon May 11 2020 19:11:24 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,,Have fever for four days How to take it down,Treatment,,,,something else
05/20-0041,Mon May 11 2020 19:15:25 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,"If daycares are closed, how can my neighbor still be looking after 3 preschoolers? Isn’t that a health risk to her and the children?","Permissible activities, Childcare",,,,something else
05/20-0042,Mon May 11 2020 19:15:29 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,why is there not information for severe symptoms. Directing the general public to call their health care provider for suggestions to relieve symptoms seems like a time waster when acute symptoms require acute treatment -- like 911 or presentation for urgent assessment like an urgent care or ER/ED,Symptoms,,,,Treatment
05/20-0043,Mon May 11 2020 19:30:32 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The answer I need is missing,I have the runs (flu). It's almost a liquid.,Feedback unclear,,,,something else
05/20-0044,Mon May 11 2020 20:02:56 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,No,The answer I need is missing,ma conjointe a été teste positif le 6 avril .Cela fait 4 test qui sont négatifs mais mon employeur refuse que je retourne travailler car j ai pas passe de test,Workplaces,,,,something else
05/20-0045,Mon May 11 2020 20:28:41 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,,How do you report someone it quarantining after being out of the country,Report rule breaking,,,,something else
05/20-0046,Mon May 11 2020 20:31:13 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,,I'm working in Louisiana State if I have A test before and is Negative no Covid 19 on my blood system and I FLy back to Canada do I still need to be in quarantine for 14 days,Travel from outside Canada,,,,something else
05/20-0047,Mon May 11 2020 20:47:56 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,"Est-ce qu'il est possible de passer un test pour savoir si on a eu le covid, pour être en mesure de retourner au travail sans avoir peur de l'attrapper",Workplaces,,,,something else
05/20-0048,Mon May 11 2020 20:57:44 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,The answer I need is missing,,No details,,,,something else
05/20-0049,Mon May 11 2020 20:57:57 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The information isn’t clear,,No details,,,,something else
05/20-0050,Mon May 11 2020 21:12:08 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,No,I’m not in the right place,,No details,,,,something else
05/20-0051,Mon May 11 2020 21:19:47 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,The information isn’t clear,I would please like to know what the symtem s are for the virus please,Symptoms,,,,something else
05/20-0052,Mon May 11 2020 21:19:59 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,No,,I need to apply for the Canada Emergency Student Benefit.,Financial support,,,,something else
05/20-0053,Mon May 11 2020 21:22:23 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,No,The answer I need is missing,,No details,,,,
