Unique ID,Page URL,What's wrong,Details,Tasks,Info exists,Actionable,Topic - HC,Date
05/20-0001,Prevention+risk EN,The answer I need is missing,I need to know if I can travel from Toronto to Muskoka cottage this weekend,travel in canada,,checked,Travel - to cottage,
05/20-0002,Prevention+risk EN,The answer I need is missing,There is an article stating it’s illegal to not wear a face mask in public in Canada. Is this true? Your website states optional. Also purchasing them takes supplies from those who need them,face mask requirement,,checked,Face mask - Use,
05/20-0003,Prevention+risk EN,The answer I need is missing,what tp know the rules,general rules,,,Feedback unclear,
05/20-0004,Prevention+risk EN,,I am on oxygen 24/day. Should I wear a face mask?,face mask requirement,,checked,Face mask - Use,
05/20-0005,Prevention+risk EN,The answer I need is missing,Looking for a contact to request a self isolation requirement be revoked as it was issues by mistake.,contact,,,Self-isolation - How to get it revoked if issued by mistake,
05/20-0006,Prevention+risk EN,The information isn’t clear,"I would like to know, if I go to the grocery store or for a walk, can I transmit the virus on my shoes or jacket and come home and infect others in the house, is leaving my shoes at the door enough or do I have to disinfect them.",Transmission detail,,checked,Risk - Infection spread - to others in house from clothing worn to grocery store/on walk,
05/20-0007,Prevention+risk EN,,"Is this real? Is there a Law, effective TODAY forcing All Canadian to wear a ask? Please see web link below https://toronto-ontario.news/news/you-can-get-jail-time-for-not-wearing-a-face-mask-in-canada-starting-next-week/",face mask requirement,,checked,Face mask - Requirement,
05/20-0008,Prevention+risk EN,The answer I need is missing,If someone is asymptomatic and they quarantine for 14 days are they still a risk to spread the virus. (If they never show symptoms will the virus be gone in 14 days?),Transmission detail,,checked,Contagious - how long,
05/20-0009,Prevention+risk EN,The information isn’t clear,"Standards for masks, whats acceptable what isnt.",face mask requirement,,,Face mask - Standards,
05/20-0010,Prevention+risk EN,The answer I need is missing,Procedure for laundering Covid contaminated bedding,Transmission detail,,checked,"Prevention - Virus contaminated bedding, how to launder",
05/20-0011,Prevention+risk EN,The answer I need is missing,if I live on a farm by myself and am in self isolation can I go around my farm,Self-isolation guidelines,,checked,Self-isolation - permitted to go around my farm,
05/20-0012,Prevention+risk EN,The answer I need is missing,"mental health portal URL just given by minister of health, no whereto be found!",Mental health,,checked,Mental health - Looking for URL for mental health portal,
05/20-0013,Prevention+risk EN,The answer I need is missing,"If you are for example walking down a hallway and you cant maintain the 2 meters distance, is there a time limit for when you need to worry about possibly becoming infected",Transmission detail,,checked,RIsk/Spread - if unable to maintain physical distance when walking down hallway,
05/20-0014,Prevention+risk EN,The answer I need is missing,Are we able to visit immediate family if physical distancing is maintained and group size is less than 10 people?,Physical distancing guidelines,,checked,Permissible activities - Social contact,
05/20-0015,Prevention+risk EN,The answer I need is missing,"If a company has a confirmed case of COVID-19, do employees working there have a right to not got to work for safety reasons?",Workplace,,checked,Workplace - worker rights not to go to work for safety reasons,
05/20-0016,Prevention+risk EN,The answer I need is missing,"If daycares are closed, how can my neighbor still be looking after 3 preschoolers? Isn’t that a health risk to her and the children?",Physical distancing guidelines,,checked,Risk - Neighbour looking after preschoolers,
05/20-0017,Prevention+risk EN,,How do you report someone it quarantining after being out of the country,Self-isolation guidelines,n,,Travel - report someone not quarantining,
05/20-0018,Prevention+risk EN,,"My daughter is moving into her first appartment may 31st. She needs help moving in furniture and boxes! Is there any exemption to this, we don't want to get a fine of $1000",Physical distancing guidelines,,checked,Moving - exemption to help someone move,
